Ward name,Old code,New code,percent_with_households_owned,population_density_persons_per_sq_km,general_fertility_rate,employment_rate,crime_rate,average_public_transport_accessibility_score,average_gcse_capped_point_scores
Haringey - Hornsey,00APGH,E05000273,39.8,"11,727",56.8,72.4,67.2,3.4,329
Haringey - Muswell Hill,00APGJ,E05000274,58.5,"6,412",49.8,78.4,71.7,3.2,375
Haringey - Noel Park,00APGK,E05000275,28.2,"11,958",59.3,63.2,200.7,6.1,302
Haringey - Northumberland Park,00APGL,E05000276,20.5,"7,763",83.3,52.3,130.5,4.1,293
Haringey - St. Ann's,00APGM,E05000277,37.7,"14,000",55.1,65.6,71.0,3.9,305
Haringey - Seven Sisters,00APGN,E05000278,31.2,"12,500",75.4,63.7,80.0,4.7,320
Haringey - Stroud Green,00APGP,E05000279,43.5,"10,909",42.4,77.3,54.0,4.6,335
Haringey - Tottenham Green,00APGQ,E05000280,26.8,"10,929",67.5,61.3,134.5,5.8,292
Haringey - Tottenham Hale,00APGR,E05000281,31.2,"8,553",67.1,56.3,103.7,4.7,301
Haringey - West Green,00APGS,E05000282,33.7,"9,821",64.8,63.3,80.4,4.1,309
Haringey - White Hart Lane,00APGT,E05000283,29.8,"8,059",65.6,54.8,82.1,3.3,315
Haringey - Woodside,00APGU,E05000284,37.6,"10,000",56.3,66.6,84.2,4.7,301
Harrow - Belmont,00AQFY,E05000285,81.6,"6,444",64.3,71.8,35.3,2.0,356
Harrow - Canons,00AQFZ,E05000286,66.5,"2,339",64.2,71.9,42.1,2.7,341
Harrow - Edgware,00AQGA,E05000287,63.5,"8,571",83.7,68.6,52.6,2.9,334
Harrow - Greenhill,00AQGB,E05000288,42.9,"7,618",85.2,71.1,129.9,4.6,318
Harrow - Harrow on the Hill,00AQGC,E05000289,52.7,"3,528",63.7,68.2,57.3,3.1,343
Harrow - Harrow Weald,00AQGD,E05000290,68.4,"2,533",61.7,69.1,47.0,2.8,324
Harrow - Hatch End,00AQGE,E05000291,74.9,"3,303",61.0,73.2,41.5,2.3,351
Harrow - Headstone North,00AQGF,E05000292,80.5,"3,136",52.5,73.8,40.9,2.7,360
Harrow - Headstone South,00AQGG,E05000293,65.4,"7,667",65.4,71.7,39.7,3.1,351
Harrow - Kenton East,00AQGH,E05000294,61.3,"8,846",72.9,68.5,33.5,2.5,337
Harrow - Kenton West,00AQGJ,E05000295,78.5,"6,389",64.2,71.6,40.0,2.9,342
Harrow - Marlborough,00AQGK,E05000296,55.0,"8,000",98.9,68.4,60.9,3.8,323
Harrow - Pinner,00AQGL,E05000297,68.7,"3,106",52.6,71.8,44.7,1.8,332
Harrow - Pinner South,00AQGM,E05000298,81.5,"4,417",67.7,75.2,24.5,2.2,369
Harrow - Queensbury,00AQGN,E05000299,68.8,"7,688",75.9,68.1,37.4,2.6,332
Harrow - Rayners Lane,00AQGP,E05000300,74.7,"7,600",57.0,71.5,33.5,3.2,350
Harrow - Roxbourne,00AQGQ,E05000301,48.0,"8,733",83.7,64.8,53.1,3.0,321
Harrow - Roxeth,00AQGR,E05000302,66.2,"7,469",57.6,68.6,64.1,3.0,335
Harrow - Stanmore Park,00AQGS,E05000303,65.8,"2,544",67.3,68.6,53.3,2.1,313
Harrow - Wealdstone,00AQGT,E05000304,55.3,"9,708",77.0,65.1,54.5,3.3,315
Harrow - West Harrow,00AQGU,E05000305,66.0,"7,067",63.9,71.5,31.2,3.2,357
Havering - Brooklands,00ARGC,E05000306,63.5,"3,786",79.7,72.7,71.9,2.9,307
Havering - Cranham,00ARGD,E05000307,87.9,"1,902",51.0,75.6,32.3,2.3,337
Havering - Elm Park,00ARGE,E05000308,75.2,"3,392",57.9,73.4,39.4,2.6,322
Havering - Emerson Park,00ARGF,E05000309,89.2,"2,609",44.9,74.3,36.3,2.0,352
Havering - Gooshays,00ARGG,E05000310,48.6,"1,917",64.5,63.0,79.9,2.6,284
